,name,title,currency,lower_estimate,upper_estimate,actual_price
0,Joe Goode,CLOUD-PHOTOGRAPH TRIPTYCH,USD,"25,000","35,000",203000
2,Ed Ruscha,WORLD,USD,"100,000","150,000",149000
4,John Baldessari,"18TH AND HIGHLAND, NATIONAL CITY.",USD,"180,000","250,000",509000
6,John Baldessari,SKETCH FOR FRAGMENT A-3 #2,USD,"8,000","12,000",13750
8,John Baldessari,FRAGMENT ,USD,"25,000","35,000",68750
10,Vija Celmins,BURNING PLANE,USD,"900,000","1,200,000",3413000
12,Vija Celmins,CLOUDS NO. 2,USD,"400,000","600,000",1565000
14,Vija Celmins,PINK PEARL ERASER,USD,"180,000","250,000",1565000
16,Richard Pettibone,"FRANK STELLA, 'UNTITLED'",USD,"6,000","8,000",20000
18,Richard Pettibone,"ANDY WARHOL, 'FLOWERS'",USD,"8,000","12,000",62500
20,Richard Pettibone,"R LICHTENSTEIN, 'MASTERPIECE,' 1962",USD,"35,000","45,000",106250
22,Andy Warhol,MAO,USD,"600,000","800,000",677000
24,Jean-Michel Basquiat,HEAVYWEIGHT CROWN KING OF BOXING,USD,"200,000","300,000",341000
26,William Baziotes,VAMPIRE,USD,"40,000","60,000",100000
28,Robert Motherwell,MAN IN GREY,USD,"120,000","180,000",173000
30,Ad Reinhardt,UNTITLED,USD,"200,000","300,000",389000
32,Sam Francis,UNTITLED,USD,"5,000","7,000",5938
34,Sam Francis,UNTITLED,USD,"5,000","7,000",11250
36,Helen Frankenthaler,LANDSCAPE WITH DUNES,USD,"60,000","80,000",149000
38,John McLaughlin,#15,USD,"150,000","200,000",221000
40,John McLaughlin,UNTITLED,USD,"100,000","150,000",185000
42,John McLaughlin,UNTITLED,USD,"120,000","180,000",221000
44,John McLaughlin,UNTITLED,USD,"100,000","150,000",209000
46,John McLaughlin,UNTITLED,USD,"100,000","150,000",149000
48,Frank Stella,UNTITLED (STUDY FOR STACKS),USD,"6,000","8,000",15000
50,Carl Andre,SMALL EQUIVALENT II,USD,"50,000","70,000",118750
52,John McCracken,ARC,USD,"200,000","300,000",269000
54,Tony Berlant,BUTTERFLY PIE,USD,"5,000","7,000",8125
56,DeWain Valentine,UNTITLED,USD,"10,000","15,000",18750
58,DeWain Valentine,UNTITLED,USD,"20,000","30,000",43750
60,Billy Al Bengston,THE ALAMO - GREEN,USD,"3,000","5,000",10625
62,John McCracken,UNTITLED,USD,"3,000","5,000",6875
64,Norman Zammitt,HONEYCOMB 1,USD,"2,000","3,000",2250
66,Larry Bell,SMVD 67 (SMALL MIRAGE VAPOR DRAWING),USD,"1,000","1,500",5938
68,Norman Zammitt,BLUE BURNING II,USD,"3,000","5,000",7500
70,Edward Bereal,JUNKER JU,USD,"20,000","30,000",20000
72,Chris Burden,THE CHURCH OF HUMAN ENERGY,USD,"5,000","7,000",5000
74,Llyn Foulkes,UNTITLED,USD,"12,000","18,000",28125
76,Llyn Foulkes,BEREOL HILL,USD,"8,000","12,000",10000
78,Llyn Foulkes,UNTITLED (POEM),USD,"8,000","12,000",18750
80,Llyn Foulkes,UNTITLED,USD,"3,000","5,000",9375
82,Edward Kienholz,FOR $133.00,USD,"4,000","6,000",11250
84,Edward Kienholz,FOR TAPS AND DIES,USD,"4,000","6,000",12500
86,Wallace Berman,UNTITLED (SELF-PORTRAIT),USD,"3,000","5,000",8750
88,Wallace Berman,UNTITLED,USD,"3,000","5,000",20000
90,Wallace Berman,UNTITLED ,USD,"20,000","30,000",43750
92,George Herms,DOLLAR CLOCK,USD,"3,000","5,000",0
94,George Herms,A SLIGHT PAUSE,USD,"5,000","7,000",4688
96,Robert Dowd,VAN GOGH DOLLAR,USD,"2,500","3,500",18750
98,George Herms,ON BRINK OF CHAOS,USD,"15,000","20,000",15000
100,Edward Kienholz,ANIMAL TRAP,USD,"15,000","20,000",62500
102,Ed Ruscha,VOWEL #46 (O) - HARD LIGHT,USD,"10,000","15,000",20000
104,Tom Wesselmann,DRAWING FOR GINA'S HAND,USD,"4,000","6,000",6250
106,Claes Oldenburg,"STUDY FOR COLOSSAL MONUMENTS: LUNCH BOX CONTENTS ON THE ISLANDS OF THE UPPER BAY (BEDLOES, ELLIS, GOVERNOR)",USD,"35,000","45,000",0
108,Judy Chicago,EIGHT,USD,"3,000","5,000",7500
110,Emerson Woelffer,"STRADA NERO (FORIO D'ISCHIA, NAPOLI, ITALIA)",USD,"5,000","7,000",5000
112,Karl Stanley Benjamin,TG #18,USD,"25,000","35,000",28125
114,Alfred Leslie,UNTITLED,USD,"10,000","15,000",21250
116,Milton Resnick,BEDROOM,USD,"10,000","15,000",21250
118,Robert Irwin,LUCKY U,USD,"25,000","35,000",46875
120,John Altoon,UNTITLED,USD,"10,000","15,000",10000
122,Willem De Kooning,UNTITLED,USD,"10,000","15,000",31250
124,Sam Francis,UNTITLED,USD,"10,000","15,000",28125
126,Joseph Cornell,"UNTITLED (HÔTEL DE L'ÉTOILE, SUZANNE MILLER)",USD,"30,000","40,000",50000
128,David Salle,UNTITLED,USD,"8,000","12,000",8125
130,Raymond Pettibon,UNTITLED (TICKING AS HARD AS AN HONEST OLD WATCH),USD,"4,000","6,000",13750
132,Kaz Oshiro,ANIME,USD,"5,000","7,000",6250
134,Kaz Oshiro,FENDER (PUSSY CAT),USD,"15,000","20,000",18750
136,Lari Pittman,1776,USD,"5,000","7,000",5000
138,Ed Moses,JAC-WAG NO. 8,USD,"2,000","3,000",4688
140,Mike Kelley,THE PAST AND THE FUTURE,USD,"50,000","70,000",305000
142,Jean St. Pierre,WHITE WHITE #8,USD,"3,000","5,000",0
144,Guy de Cointet,THE WORKS LEFT BY THE NOVELIST,USD,"3,000","5,000",16250
146,Guy de Cointet,IL JE TÎNT Á L'ÉCART DES INTRIGUES POLITIQUES JUSQU'AU JOUS...,USD,"3,000","5,000",6250
148,Robert Therrien,UNTITLED (KEYHOLE),USD,"5,000","7,000",11875
150,Robert Therrien,UNTITLED (ARCH),USD,"5,000","7,000",10625
152,James Hayward,STATIONS OF THE CROSS PROTOTYPE A,USD,"6,000","8,000",0
154,Mary Corse,UNTITLED,USD,"5,000","7,000",5000
156,Phillip Hefferton,ONE,USD,"4,000","6,000",6875
158,Robert Dowd,$5.00,USD,"5,000","7,000",6250
160,Vija Celmins,UNTITLED,USD,"1,000","1,500",1875
162,Vija Celmins,COMET,USD,"8,000","12,000",28125
164,Vija Celmins,UNTITLED (LARGE OCEAN),USD,"10,000","15,000",31250
166,Vija Celmins,UNTITLED,USD,"2,000","3,000",2500
168,Bruce Nauman,LIVE OR DIE (STATE I),USD,"3,000","5,000",16250
170,Ed Ruscha,CRACKERS,USD,"8,000","12,000",15000
172,Andy Warhol,VOTE MCGOVERN,USD,"15,000","20,000",40625
174,Andy Warhol,ELECTRIC CHAIR,USD,"5,000","7,000",15000
176,Roy Lichtenstein,FOOT AND HAND,USD,"5,000","7,000",10000
178,Roy Lichtenstein,CRAK!,USD,"7,000","10,000",23750
180,Roy Lichtenstein,MAO,USD,"10,000","15,000",21250
182,Wayne Thiebaud,CASE PIES; COCONUT CAKE [TWO WORKS],USD,"6,000","8,000",18750
184,Jasper Johns,FIGURE 0,USD,"5,000","7,000",6875
186,Jasper Johns,THE CRITIC SEES,USD,"2,000","3,000",5938
188,Jasper Johns,LAND'S END,USD,"6,000","8,000",9375
190,Jasper Johns,ALE CANS,USD,"5,000","7,000",7500
192,Richard Serra,PATIENCE,USD,"4,000","6,000",13750
194,Richard Serra,"ROLLED, ENCASED & SAWED ",USD,"5,000","7,000",11875
196,Andy Warhol,UNTITLED (LOS ANGELES DAISY) [TWO WORKS],USD,"8,000","12,000",10000
198,Andy Warhol,DECEMBER SHOE,USD,"5,000","7,000",56250
200,Andy Warhol,HAPPY BUTTERFLY DAY,USD,"7,000","10,000",62500
202,Andy Warhol,HARD BOILED EGGS,USD,"5,000","7,000",43750
204,Alexander Calder,ESPIRIT CURIEUX,USD,"40,000","60,000",112500
206,Alexander Calder,GOOD SHOT,USD,"30,000","40,000",131000
208,Alexander Calder,BLACK BUTTERFLY,USD,"40,000","60,000",137000
210,Alexander Calder,BLACK LEAFED FLOWERS,USD,"40,000","60,000",137000
212,Alexander Calder,GIRAFFE,USD,"250,000","350,000",485000
214,Alexander Calder,RED BOOMERANGS AND BLUE SAUCER,USD,"35,000","45,000",87500
216,Alexander Calder,CENTRAL FROND,USD,"40,000","60,000",59375
218,Alexander Calder,"THE WAVES ""LES VAGUES""",USD,"30,000","40,000",112500
220,Alexander Calder,SPIRAL WITH ROCK CRYSTAL,USD,"60,000","80,000",75000
222,Richard Pousette-Dart,CIRCLES OF LIFE,USD,"70,000","90,000",161000
224,Alfred Jensen,THE VIRGINITY OF NUMBERS,USD,"80,000","120,000",149000
226,Philip Guston,MAGICIAN'S TABLE,USD,"250,000","350,000",653000
228,Jack Tworkov,QUEEN II,USD,"80,000","120,000",209000
230,Michael Goldberg,STILL LIFE WITH ONION ROLLS ,USD,"120,000","180,000",317000
232,Larry Rivers,2ND AVENUE WITH THE,USD,"120,000","180,000",0
234,Salvatore Scarpitta,HALTER 2,USD,"200,000","300,000",365000
236,Hanne Darboven,UNTITLED (PORTFOLIO 3 - PART A),USD,"40,000","60,000",100000
238,Christo,WHITNEY MUSEUM OF AMERICAN ART PACKED (PROJECT FOR WHITNEY MUSEUM NEW YORK),USD,"50,000","70,000",68750
240,Ed Ruscha,SEVERAL FLAMES,USD,"250,000","350,000",305000
242,Richard Diebenkorn,UNTITLED,USD,"150,000","250,000",0
244,Richard Diebenkorn,UNTITLED,USD,"400,000","600,000",485000
246,Richard Diebenkorn,UNTITLED,USD,"35,000","45,000",0
248,Andy Warhol,UNIDENTIFIED MALE,USD,"15,000","20,000",18750
250,Tom Wesselmann,UNTITLED (DRAWING OF HELEN),USD,"40,000","60,000",0
252,Ellsworth Kelly,PHILODENDRON,USD,"60,000","80,000",96875
254,Keith Haring,UNTITLED,USD,"2,000,000","3,000,000",2741000
256,James Rosenquist,CAROUSEL,USD,"35,000","45,000",81250
258,Richard Pettibone,"ANDY WARHOL, 'MOST WANTED MAN #2,' 1963, JOHN VICTOR G",USD,"8,000","12,000",17500
260,Roy Lichtenstein,UNTITLED HEAD 1,USD,"50,000","70,000",93750
262,Saul Steinberg,HOMBRE,USD,"15,000","20,000",9375
264,Richard Lindner,COUPLE II,USD,"30,000","40,000",50000
266,John Wesley,CAMPUS,USD,"100,000","150,000",0
268,Andy Warhol,FROG ,USD,"30,000","40,000",46875
270,Keith Haring,UNTITLED,USD,"80,000","120,000",197000
272,Alex Katz,ORANGE HAT I,USD,"25,000","35,000",75000
274,Robert Rauschenberg,UNTITLED,USD,"25,000","35,000",31250
276,Keith Haring,PYRAMID,USD,"50,000","70,000",62500
278,Sam Francis,POWER WORD (DIPTYCH),USD,"120,000","180,000",545000
280,Christo,"THE PONT NEUF, WRAPPED (PROJECT FOR PARIS)",USD,"100,000","150,000",125000
282,Louise Nevelson,END OF DAY XXXVIII,USD,"15,000","20,000",21250
284,Anthony Caro,CAN CO RUSTY NINE,USD,"7,000","9,000",31250
286,Brice Marden,CARD DRAWING #5,USD,"40,000","60,000",50000
288,Donald Judd,UNTITLED,USD,"40,000","60,000",93750
290,John McCracken,SPIRININ,USD,"25,000","35,000",100000
292,Anne Truitt,SPRING RUN,USD,"60,000","80,000",118750
294,Sol LeWitt,PYRAMID #12,USD,"70,000","90,000",68750
296,Isamu Noguchi,MANNARI,USD,"150,000","200,000",317000
298,Charles Hinman,AENEAS,USD,"12,000","18,000",34375
300,Robert Morris,UNTITLED (L-BEAMS),USD,"8,000","12,000",8125
302,Ilya Bolotowsky,YELLOW TONDO,USD,"15,000","20,000",46875
304,Julian Stanczak,INCESSANT MOVEMENT,USD,"12,000","18,000",50000
306,Julian Stanczak,CONFERRING RED,USD,"35,000","45,000",81250
308,Julian Stanczak,UNDULATING CURRENTS,USD,"30,000","40,000",125000
310,Richard Anuszkiewicz,DAWN - COOL RECTANGLE; DAWN - WARM RECTANGLE,USD,"20,000","30,000",53125
312,Arshile Gorky,PORTRAIT OF A GIRL,USD,"80,000","100,000",0
314,Willem De Kooning,UNTITLED [FOUR WORKS],USD,"40,000","60,000",62500
316,Robert Goodnough,REARING HORSES,USD,"8,000","12,000",0
318,Robert Richenburg,SUMMER'S NIGHT,USD,"20,000","30,000",12500
320,Larry Rivers,GENERATIONS,USD,"50,000","70,000",0
322,Joseph Cornell,PORTRAIT OF SUZANNE,USD,"10,000","15,000",0
324,Joseph Cornell,UNTITLED (THE OBSERVATORY),USD,"7,000","9,000",0
326,Joseph Cornell,UNTITLED (DOLL'S HEAD AND KITTY STAMP),USD,"7,000","9,000",0
328,Joseph Cornell,"UNTITLED (PORTRAIT OF A GIRL, 1631)",USD,"20,000","30,000",37500
330,Joseph Cornell,A FAIRY TALE FOR MARIQUITA,USD,"15,000","25,000",0
332,Friedel Dzubas,MEADOW'S END,USD,"30,000","50,000",46875
334,Esteban Vicente,UNTITLED,USD,"40,000","60,000",0
336,David Hammons,UNTITLED,USD,"60,000","80,000",87500
338,Alexander Calder,UNTITLED,USD,"15,000","20,000",37500
340,Sam Francis,UNTITLED,USD,"30,000","40,000",0
342,Niki de Saint Phalle,OISEAU (LAST NIGHT I HAD A DREAM),USD,"50,000","70,000",0
344,Richard Stankiewicz,UNTITLED,USD,"20,000","30,000",46875
346,Afro,UNTITLED,USD,"8,000","12,000",0
348,Markus Lüpertz,SELBSTPORTRAIT MIT BILDUNG,USD,"30,000","40,000",56250
350,Louise Nevelson,UNTITLED,USD,"15,000","20,000",0
352,Anthony Caro,HALF PENNY,USD,"25,000","35,000",40625
354,Mattia Moreni,UNA NUVOLA,USD,"35,000","45,000",0
356,Clement Meadmore,UNTITLED,USD,"8,000","12,000",15000
358,Arman,ICARBOL,USD,"10,000","15,000",81250
360,Sorel Etrog,MANON,USD,"30,000","40,000",0
362,Jean Dubuffet,LA VILLA III,USD,"20,000","30,000",25000
364,Arman,BLACK IS BEAUTIFUL,USD,"40,000","60,000",50000
366,Philip Pearlstein,SEATED MALE NUDE AND FEMALE NUDE,USD,"20,000","30,000",0
368,Lester F. Johnson,CITY #3,USD,"10,000","15,000",34375
370,William Bailey,STILL LIFE WITH BLUE STRIPES,USD,"25,000","35,000",62500
372,William Bailey,HOSTESS II,USD,"50,000","70,000",0
374,Nick Darmstaedter,SUCK,USD,"18,000","25,000",149000
376,Mark Flood,SHINY MIRROR,USD,"35,000","45,000",56250
378,Analia Saban,STRIPE HAND TOWEL,USD,"10,000","15,000",28125
380,Walead Beshty,"FEDEX MEDIUM KRAFT BOX (C) 2005 FEDEX 157872 REV 10/05 SSCC, INTERNATIONAL PRIORITY, LOS ANGELES-BRUSSELS TRK# 898775903583, JANUARY 6-9, 2012, INTERNATIONAL PRIORITY, OOSTENDE-NEW YORK, TRK# 770729550804, AUGUST 1-5, 2014 ",USD,"25,000","35,000",31250
382,Nick Darmstaedter,SAP,USD,"18,000","25,000",56250
384,Valerie Snobeck,BAGS,USD,"10,000","15,000",20000
386,Leo Gabin,IT UP SHAKE,USD,"10,000","15,000",17500
388,Analia Saban,FADE OUT (FROM WHITE) #2,USD,"20,000","30,000",50000
390,David Ostrowski,F (JET GRILL),USD,"50,000","70,000",173000
392,Lucien Smith,LITTLE BLUE AND LITTLE YELLOW #5,USD,"20,000","30,000",25000
394,Hugh Scott-Douglas,UNTITLED,USD,"18,000","25,000",25000
396,Christopher Wool,UNTITLED,USD,"80,000","120,000",0
398,Rudolf Stingel,UNTITLED,USD,"100,000","150,000",221000
400,Kathryn Andrews,GIFT,USD,"10,000","15,000",18750
402,Mark Grotjahn,"POKER FACE (4,097)",USD,"40,000","60,000",0
404,Yayoi Kusama,PUMPKIN,USD,"30,000","50,000",112500
406,KAWS,UNTITLED,USD,"40,000","60,000",81250
408,Damien Hirst,TRICAPRYLIN,USD,"100,000","150,000",125000
410,Damien Hirst,DIPALMITIN,USD,"100,000","150,000",281000
412,Scott Reeder,UNTITLED (PASTA PAINTING),USD,"10,000","15,000",16250
414,Walead Beshty,"TWO SIDED PICTURE (YG), NOVEMBER 21ST 2007, LOS ANGELES, CALIFORNIA, KODAK SUPRA ENDURA",USD,"40,000","60,000",0
416,KAWS,UNTITLED,USD,"80,000","120,000",106250
418,Gardar Eide Einarsson,THE DEVIL'S BUTCHER SHOP; THE NEW MEXICO PRISON UPRISING,USD,"25,000","35,000",0
420,Adam McEwen,PAY 1/2 PRICE (STICKER),USD,"30,000","40,000",0
422,The Bruce High Quality Foundation,FOUR LITTLE DAVES,USD,"20,000","30,000",23750
424,Latifa Echakhch,MICRO VIDE,USD,"8,000","12,000",9375
426,Mickalene Thomas,MAMA BUSH,USD,"40,000","60,000",43750
428,Glenn Ligon,STUDY FOR NEGRO SUNSHINE #77,USD,"20,000","30,000",25000
430,Rashid Johnson,CARVER,USD,"80,000","120,000",106250
432,Richard Prince,UNTITLED (THREE WOMEN LOOKING IN THE SAME DIRECTION),USD,"100,000","150,000",118750
434,John Armleder,UNTITLED (FURNITURE SCULPTURE 164),USD,"15,000","20,000",20000
436,Mike Kelley,TEST ROOM CONTAINING MULTIPLE STIMULI KNOWN TO ELICIT CURIOSITY AND MANIPULATORY RESPONSES (BLONDE BANDURA ACTION),USD,"18,000","25,000",0
438,Raymond Pettibon,UNTITLED (WAVING AN AMERICAN FLAG); UNTITLED (C'MON RAY...); UNTITLED (A RED CARPET...); UNTITLED (HE KNEW ABOUT HER...) [FOUR WORKS],USD,"35,000","45,000",43750
440,Iván Navarro,PINK ELECTRIC CHAIR,USD,"30,000","40,000",43750
442,Jim Campbell,HOME MOVIE 300-2,USD,"15,000","20,000",75000
444,Peter Halley,PROXIMITY DETECTOR,USD,"40,000","60,000",106250
446,Wang Guangyi,GREAT CRITICISM SERIES: HILFIGER,USD,"20,000","30,000",18750
448,Subodh Gupta,GOBER GANESHA,USD,"60,000","80,000",0
450,Cindy Sherman,UNTITLED,USD,"100,000","150,000",209000
452,Jenny Holzer,THE LIVING SERIES: WHEN ONE LEG IS SHORTER THAN THE OTHER...,USD,"8,000","12,000",21250
454,Richard Prince,UNTITLED (PUBLICITY),USD,"15,000","20,000",16250
456,Richard Prince,UNTITLED,USD,"100,000","150,000",0
458,Kehinde Wiley,EASTER REALNESS #6,USD,"40,000","60,000",40625
460,Rashid Johnson,RADIO AMATEUR'S HANDBOOK,USD,"50,000","70,000",75000
462,Mickalene Thomas,ALL I WANT IS A FIGHTING CHANCE,USD,"30,000","40,000",0
464,Raqib Shaw,UNTITLED,USD,"10,000","15,000",0
466,Wangechi Mutu,THRONE,USD,"40,000","60,000",37500
468,William J. O'Brien,UNTITLED,USD,"8,000","12,000",10000
470,Anthony Pearson,UNTITLED (OPAQUE),USD,"8,000","12,000",7500
472,Sterling Ruby,3 DROPS,USD,"40,000","60,000",43750
474,Gert and Uwe Tobias,UNTITLED,USD,"15,000","20,000",18750
476,Sterling Ruby,STALAGMITE/ICOLAGNIA,USD,"80,000","120,000",125000
478,Matthew Chambers,LIVING PILLARS,USD,"10,000","15,000",10000
480,Wilhelm Sasnal,WOKALISTKA,USD,"20,000","30,000",46875
482,David Korty,UNTITLED,USD,"6,000","8,000",9375
484,Friedrich Kunath,UNTITLED (ROMY),USD,"8,000","12,000",10000
486,Wilhelm Sasnal,SMUGGLING,USD,"30,000","40,000",0
488,Dirk Skreber,SNOW BLACK,USD,"25,000","35,000",25000
490,Richard Phillips,DIANE WEBBER,USD,"60,000","80,000",56250
492,Marlene Dumas,BEFORE BIRTH; WE'VE GOT THE STARS: LET'S NOT ASK FOR THE MOON (BETTE DAVIS IN THE YEAR OF HER DEATH) [TWO WORKS],USD,"12,000","18,000",0
494,Tom Friedman,UNTITLED,USD,"15,000","20,000",0
496,Mike Kelley,IRRITABLE BOWEL SYNDROME,USD,"50,000","70,000",37500
498,Matthew Barney,OTTOSHAFT (MANUAL) E,USD,"20,000","30,000",25000
500,Thomas Hirschhorn,"FROM THE BULLET-HOLE SERIES: VIRGINIE; FROM THE SERIES ANTIBIOTIQUES: AUGMENTIN; FROM THE SERIES ANTIBIOTIQUES: CIBLOR; FROM THE SERIES ANTIFONGINIQUES: DERMALOZ; FROM THE SERIES ANTIFONGINIQUES: PEVISONE; UTOPIA IS NOT FASHIONABLE, REALITY IS NOT FASHIONABLE [SIX WORKS]",USD,"15,000","20,000",21250
502,Sarah Lucas,PRIÈRE DE TOUCHER,USD,"30,000","40,000",37500
504,Paulina Olowska,CORRESPONDENCE,USD,"5,000","7,000",6250
506,David Noonan,UNTITLED,USD,"15,000","20,000",10000
508,Adam Helms,UNTITLED PORTRAIT (10),USD,"20,000","30,000",18750
510,Pipilotti Rist,LIQUID CRYSTAL VASE,USD,"20,000","30,000",12500
512,Rosemarie Trockel,CONTINENTAL DIVIDE,USD,"10,000","15,000",7500
514,Peter Fischli & David Weiss,SURRLI,USD,"60,000","80,000",93750
516,Thomas Hirschhorn,ABSTRACT RELIEF (GEORGE ORWELL),USD,"15,000","20,000",28125
518,Rebecca Warren,FRAUENSCHADE,USD,"20,000","30,000",37500
520,Brendan Fowler,"FALL 2009 (ANDREA AND FLOWERS IN PATTY'S GAZEBO, 2 COLOR FLOWER PRINT, FINISHED WALL IN LA HOUSE 1, FLOWERS ON WALK WITH ANDREA/TERRY/CINDY 1, P. 58)",USD,"25,000","35,000",0
522,Ricky Swallow,DIGITAL DERBY,USD,"8,000","12,000",0
524,Adam Pendleton,AFRO FUTURISTIC (TOP TYPE),USD,"8,000","12,000",16250
526,Anselm Reyle,UNTITLED,USD,"30,000","40,000",53125
528,Gert and Uwe Tobias,UNTITLED (DER OSTEN IM NORDEN DES WESTENS),USD,"18,000","22,000",0
530,Jim Lambie,"EARTH, WIND AND FIRE",USD,"10,000","15,000",0
532,Jim Lambie,SELF-SERVICE (YELLOW EYE),USD,"30,000","40,000",0
534,Luc Tuymans,UNTITLED (FOCUS),USD,"5,000","7,000",0
536,Barnaby Furnas,THE SURRENDER OF JOHN BROWN,USD,"10,000","15,000",28125
538,Kai Althoff,UNTITLED,USD,"8,000","12,000",18750
540,Walter Pichler,BLUE PANTS,USD,"10,000","15,000",12500
542,Paloma Varga Weisz,"FRAU, GEBETTET",USD,"15,000","20,000",40625
544,Rachel Feinstein,MODEL,USD,"15,000","20,000",12500
546,Magnus von Plessen,HER COAT WAS OF MANY COLOURS (TRIPTYCH),USD,"20,000","30,000",31250
548,Richard Artschwager,REFLECTION ON REFLECTION,USD,"8,000","12,000",9375
550,Toba Khedoori,UNTITLED (WORKING DRAWING FOR WALKWAY),USD,"20,000","30,000",12500
552,Ricci Albenda,STUDY FOR OPEN UNIVERSE (EMIL) #1,USD,"20,000","30,000",18750
554,Rineke Dijkstra,"TIERGARTEN, BERLIN, GERMANY, JUNE 27, 1999",USD,"15,000","20,000",0
556,Hellen van Meene,UNTITLED (THE BARBARA SERIES),USD,"5,000","7,000",0
558,Sharon Lockhart,JULIE AND THOMAS,USD,"15,000","20,000",0
560,Rineke Dijkstra,"CONEY ISLAND, NY, JULY 9, 1993",USD,"8,000","12,000",0
562,Dash Snow,SHOW NO MERCY,USD,"5,000","7,000",8125
564,Mickalene Thomas,LES TROIS FEMMES NOIRES,USD,"8,000","12,000",8750
566,Kehinde Wiley,ISAAC ROYALL STUDY,USD,"15,000","20,000",0
568,Sean Scully,YELLOW CORNER,USD,"30,000","40,000",27500
570,William Kentridge,PUPPET DRAWING [TWO WORKS],USD,"50,000","70,000",50000
572,Francis Alÿs,UNTITLED (BEFORE THE PROPHET),USD,"20,000","30,000",0
574,Francis Alÿs,UNTITLED (BEFORE THE PROPHET),USD,"20,000","30,000",0
576,David Hockney,MR. ARITHMETIC,USD,"15,000","20,000",43750
578,Tony Cragg,UNTITLED ,USD,"20,000","30,000",0
580,Mike Kelley,CRAFT MORPHOLOGY FLOW CHART,USD,"30,000","40,000",25000
582,Tim Noble & Sue Webster,UNTITLED (RAT AND TRAP),USD,"30,000","40,000",35000
584,Gilbert and George,TREED,USD,"70,000","90,000",75000
586,Julian Opie,BRUCE AND SARA WALKING,USD,"25,000","35,000",60000
588,Jonathan Monk,THIS PAINTING SHOULD IDEALLY BE HUNG IN THE SAME BUILDING AS AN ANDY WARHOL,USD,"25,000","35,000",34375
590,John Baldessari,THE DURESS SERIES: PERSON SHIELDING SELF FROM SPILL FROM OVERTURNED BOTTLE,USD,"100,000","150,000",161000
592,Cindy Sherman,UNTITLED,USD,"25,000","35,000",25000
594,Richard Prince,UNTITLED (PUBLICITY),USD,"20,000","30,000",22500
596,Robert Longo,STUDY FROM FINAL LIFE,USD,"40,000","60,000",81250
598,Robert Longo,UNTITLED (FIGURES FROM LENNY),USD,"50,000","70,000",62500
600,Jeff Koons,PUPPY,USD,"7,000","9,000",20000
602,Jeff Koons,BALLOON DOG (RED),USD,"8,000","12,000",27500
604,Jim Dine,"LITTLE HEARTS IN THE '80S, NUMBER 10",USD,"20,000","30,000",25000
606,Will Ryman,ROSE 42 WITH BEE,USD,"35,000","45,000",27500
608,Donald Baechler,HIS & HERS,USD,"25,000","35,000",25000
610,Donald Sultan,"PURPLE IRIS, JAN 12, 1982",USD,"60,000","80,000",0
612,Chris Ofili,UNTITLED [NINE WORKS],USD,"40,000","60,000",56250
614,Francis Alÿs,UNTITLED,USD,"25,000","35,000",0
616,Sue Williams,"FLOPPY TOES IN A YELLOW, RED AND BLUE",USD,"50,000","70,000",56250
618,Gottfried Helnwein,UNTITLED (ANGEL WITH SKULL),USD,"40,000","60,000",50000
620,Hernan Bas,THE ASH TREE (AT ONCE A VOICE AROSE AMONG THE BLEAK TWIGS OVERHEAD),USD,"80,000","120,000",0
622,Chantal Joffe,MOLL,USD,"15,000","20,000",0
624,Eberhard Havekost,SOMMERWEIHNACHT 1,USD,"30,000","40,000",0
626,Jonathan Meese,"""NO ERZIEHYNG,"" BUMMSFRISCHE WÜRSTL DAZU GRATIS AUS LAMMBABYGURKEN",USD,"20,000","30,000",21250
628,Georg Baselitz,G. ANTONIN,USD,"15,000","20,000",22500
