,name,title,currency,lower_estimate,upper_estimate,actual_price
630,Vik Muniz,"PLUTO AND PROSERPINA, AFTER BERNINI (FROM PICTURES OF CHOCOLATE)",USD,"30,000","40,000",37500
632,Vik Muniz,"LA BACCHANTE, AFTER GUSTAVE COURBET (FROM PICTURES OF MAGAZINES 2)",USD,"40,000","60,000",47500
634,Vik Muniz,"JACQUELINE IN TURKISH COSTUME, AFTER PICASSO (FROM PICTURES OF PIGMENT)",USD,"60,000","80,000",81250
636,Chuck Close,GEORGIA,USD,"35,000","45,000",43750
638,Martin Mull,GREED,USD,"4,000","6,000",0
640,Berend Strik,CRYONIC SUSPENSION,USD,"8,000","12,000",6250
642,Vik Muniz,"NEW YORK CITY BY NIGHT, AFTER BERENICE ABBOTT (FROM PICTURES OF DIAMONDS)",USD,"40,000","60,000",75000
644,Hiroshi Sugimoto,"NORTH PACIFIC OCEAN, STINSON BEACH",USD,"20,000","30,000",27500
646,Piotr Uklanski,UNTITLED (WATERFALL),USD,"7,000","9,000",9375
648,David Claerbout,NIGHTSCAPE LIGHTBOX (THIRD),USD,"20,000","30,000",0
650,Enoc Perez,DON Q,USD,"10,000","15,000",0
652,John Currin,BLACK HAIRED NUDE,USD,"30,000","50,000",0
654,Mike Kelley,UNTITLED,USD,"30,000","40,000",60000
656,Jack Pierson,UNTITLED,USD,"10,000","15,000",0
658,Marilyn Minter,LEGGINGS,USD,"20,000","30,000",0
660,Thomas Ruff,NUDES AB 10,USD,"20,000","30,000",0
662,Carter Mull,VISTA,USD,"8,000","12,000",9375
664,Carroll Dunham,F. (FROM SEVENTEEN DRAWINGS),USD,"15,000","20,000",15000
666,Carroll Dunham,UNTITLED #3,USD,"8,000","12,000",14375
668,Lynda Benglis,WILLYS-KNIGHT,USD,"40,000","60,000",75000
670,Scott Burton,UNTITLED (A PAIR OF TABLES),USD,"10,000","15,000",7500
672,Bernar Venet,TWO UNDETERMINED LINES,USD,"25,000","35,000",37500
674,Bernar Venet,INDETERMINATE LINE,USD,"30,000","40,000",56250
676,Antonio Nunziante,LE STANZE DELLA MUSICA,USD,"30,000","40,000",0
678,Robert Graham,ELISA,USD,"30,000","40,000",45000
680,Mimmo Paladino,UNTITLED,USD,"80,000","120,000",0
682,Walasse Ting,THREE WOMEN WITH FANS AND A PARROT,USD,"25,000","35,000",25000
684,Grace Hartigan,THEODORA,USD,"25,000","35,000",0
686,Ahmed Alsoudani,UNTITLED,USD,"12,000","18,000",0
688,Graham Nickson,TRACKS: GREEN SKY,USD,"15,000","20,000",16250
690,Workshop of Joos van Cleve,THE HOLY FAMILY,GBP,"40,000","60,000",158500
692,Follower of The Master of the Brussels Adoration,THE ADORATION OF THE MAGI,GBP,"20,000","30,000",28750
694,Follower of Rogier van der Weyden,THE DESCENT FROM THE CROSS,GBP,"30,000","40,000",0
696,"Jan Breughel the Younger, Frans Francken the Younger",ALLEGORY OF THE FOUR ELEMENTS,GBP,"80,000","120,000",182500
698,Studio of David Teniers the Younger,A COUNTRY WEDDING FEAST,GBP,"40,000","60,000",86500
700,Follower of Sir Peter Paul Rubens,THE GODDESS DIANA AND HER NYMPHS HUNTING DEER ,GBP,"30,000","40,000",25000
702,Alexander Keirinckx,TRAVELLERS ON A FOREST PATH,GBP,"60,000","80,000",62500
704,Théobald Michau,PEASANTS IN AN INTERIOR,GBP,"15,000","25,000",0
706,The Master with the Parrot,VIRGIN WITH THE SLEEPING CHRIST CHILD,GBP,"12,000","18,000",15000
708,Follower of Luis de Morales,ECCE HOMO,GBP,"8,000","12,000",0
710,Workshop of Pieter Coecke van Aelst the Elder,THE LAST SUPPER,GBP,"15,000","20,000",0
712,"Netherlandish School, circa 1520",THE VISION OF SAINT JOHN ON PATMOS,GBP,"8,000","12,000",11875
714,"Lower Rhenish School, circa 1510",A PAIR OF ALTAR WINGS: THE FIRST: THE SUPPER AT EMMAUS; VERSO: SAINT AGATHA THE SECOND: THE RESURRECTION; VERSO: SAINT MARGARET OF ANTIOCH,GBP,"15,000","20,000",18750
716,"Netherlandish School, 16th Century",THE CRUCIFIXION,GBP,"20,000","30,000",0
718,Follower of Lucas Cranach the Elder,CHRIST AS THE MAN OF SORROWS,GBP,"40,000","60,000",50000
720,After Daniel Mytens,PORTRAIT OF KING CHARLES I (1600–1649),GBP,"30,000","50,000",43750
722,Studio of Sir Anthony van Dyck,"DOUBLE PORTRAIT OF ELIZABETH, LADY THIMBLEBY AND HER SISTER DOROTHY, VISCOUNTESS ANDOVER, LATER COUNTESS OF BERKSHIRE (1611–1691), WITH A CUPID",GBP,"60,000","80,000",0
724,Cornelis Jonson van Ceulen,"PORTRAIT OF A NOBLEMAN, POSSIBLY DUDLEY CARLETON, 1ST VISCOUNT DORCHESTER (1573–1632)",GBP,"15,000","20,000",21250
726,"Flemish School, circa 1620","PORTRAIT OF A YOUNG MAN, PROBABLY A SELF-PORTRAIT",GBP,"15,000","20,000",0
728,Adriaen Thomasz. Key,"PORTRAIT OF A GENTLEMAN, HALF-LENGTH, WEARING A WHITE RUFF",GBP,"15,000","20,000",22500
730,"Leiden School, 17th Century",PORTRAIT OF A LADY IN AN INTERIOR,GBP,"10,000","15,000",8750
732,"School of Amsterdam, circa 1630","PORTRAIT OF A LADY, HALF-LENGTH",GBP,"20,000","30,000",92500
734,Studio of Sir Peter Lely,"PORTRAIT OF A LADY, PROBABLY ANNE HYDE, DUCHESS OF YORK (1637-1671)",GBP,"25,000","35,000",31250
736,Jan Weenix,"PORTRAIT OF A GENTLEMAN, FULL-LENGTH, STANDING IN A LANDSCAPE, HIS MANSERVANT BESIDE HIM TOGETHER WITH THE DAY'S BAG",GBP,"10,000","15,000",0
738,Attributed to Jacob Huysmans,PORTRAIT OF A COUNTESS WEARING ROBES FOR THE CORONATION OF JAMES II,GBP,"10,000","15,000",0
740,Artus Wolffort,THE POOL OF BETHESDA,GBP,"30,000","50,000",74500
742,Cornelis Cornelisz. van Haarlem,A FOOL WITH TWO WOMEN,GBP,"60,000","80,000",68500
744,"Haarlem School, 17th Century",THE KING DRINKS!,GBP,"60,000","80,000",86500
746,"Flemish School, 17th Century",ANTHONY AND CLEOPATRA,GBP,"10,000","15,000",27500
748,Attributed to Frans Francken the Younger,THE ADORATION OF THE SHEPHERDS,GBP,"10,000","15,000",27500
750,"Antwerp School, 17th century",THE CRUCIFIXION,GBP,"10,000","15,000",12500
752,Jan Breughel the Younger and Hendrik van Balen the Elder,"THE VIRGIN AND CHILD WITH THE INFANT SAINT JOHN, SURROUNDED BY ANIMALS",GBP,"60,000","80,000",122500
754,David Teniers the Younger,LANDSCAPE WITH FIGURES PLAYING SKITTLES,GBP,"60,000","80,000",86500
756,Théobald Michau,TRAVELLERS AND THEIR HERDS DEPARTING FROM A VILLAGE; TRAVELLERS UNPACKING THEIR CARTS AND ENTERING A VILLAGE,GBP,"80,000","120,000",158500
758,Circle of Frans Francken the Younger,A MERRY COMPANY MUSIC-MAKING AND DANCING IN AN INTERIOR,GBP,"40,000","60,000",0
760,Workshop of Pieter Coecke van Aelst the Elder,THE DEPOSITION,GBP,"20,000","30,000",0
762,Attributed to Fernando del Rincòn del Figueroa,THE BAPTISM OF CHRIST,GBP,"10,000","15,000",0
764,Jan Breughel the Younger,STUDIES OF A STAG,GBP,"15,000","25,000",18750
766,Isaack Jacobsz. van Hooren,"PORTRAIT OF A GIRL, FULL-LENGTH IN BLACK, HOLDING FLOWERS IN AN INTERIOR ",GBP,"20,000","30,000",25000
768,"South Netherlandish, third quarter 16th Century","PORTRAIT OF A GENTLEMAN, HALF LENGTH IN RED, HOLDING A SWORD AND A CROWN",GBP,"30,000","40,000",74500
770,Pieter Neefs the Younger,INTERIOR OF A GOTHIC CHURCH WITH FIGURES ATTENDING MASS,GBP,"30,000","40,000",56250
772,Jan Miense Molenaer,INTERIOR WITH CHILDREN DRINKING AND MISCHIEF-MAKING,GBP,"30,000","40,000",37500
774,Jan Griffier the Elder,RHENISH LANDSCAPE WITH A STEEP FOREST PATH ON THE LEFT,GBP,"30,000","40,000",47500
776,Jan Fyt,A HOUND WITH A RABBIT AND A MUSKET IN A LANDSCAPE,GBP,"25,000","35,000",31250
778,Circle of Wolfgang Heimbach,"INTERIOR OF A HOUSE WITH A WOMAN AND TWO MEN EATING AT A TABLE, A SLEEPING MAN BESIDE A BED BEING WOKEN BY A MAID BEYOND",GBP,"20,000","30,000",0
780,"Amsterdam School, 17th Century",DIOGENES IN SEARCH OF AN HONEST MAN,GBP,"25,000","35,000",0
782,Follower of Abraham Storck,SHIPPING ON THE IJ WITH AMSTERDAM BEYOND,GBP,"6,000","8,000",10000
784,Circle of Osias Beert the Elder,"STILL LIFE OF LEMONS, CHESTNUTS AND A WINE GLASS",GBP,"8,000","12,000",21250
786,Michiel Simons,"STILL LIFE OF FRUITS INCLUDING PEACHES, GRAPES, A PEAR, AND A LEMON WITH ASSORTED GAME ARRANGED ON A TABLE LEDGE WITH A ROEMER AND A PORCELAIN BOWL",GBP,"7,000","10,000",7500
788,"French School, 17th century",STILL LIFE WITH PEACHES AND GRAPES,GBP,"6,000","8,000",7500
790,Tobias Stranover,"MACAWS, A BLACK-BILLED MAGPIE AND A ROBIN WITH A FRUIT STILL-LIFE",GBP,"15,000","20,000",50000
792,Jacques de Claeuw,"STILL-LIFE OF OYSTERS, GRAPES, WINE AND OTHER FRUITS",GBP,"40,000","60,000",55000
794,Edwaert Collier,"VANITAS STILL LIFE WITH A GLOBE, A VIOLIN AND BOW, LEMON PEEL, A RECORDER, A MUSICAL SCORE, AN OPEN BOOK, AN HOUR GLASS AND OTHER OBJECTS",GBP,"80,000","120,000",176500
796,Jan Josefsz van Goyen,PEASANTS RESTING BY A WATERMILL,GBP,"30,000","50,000",52500
798,Ludolf Backhuysen,DUTCH COASTAL VESSELS AND A MERCHANTMAN OFF A HARBOUR MOUTH,GBP,"40,000","60,000",60000
800,Follower of Sir Peter Paul Rubens,HEAD OF AN OLD MAN,GBP,"8,000","12,000",9375
802,Circle of Jan van Scorel,"PORTRAIT OF A BOY, HEAD AND SHOULDERS, WEARING A BERET, POSSIBLY THE YOUNG FERDINAND I, HOLY ROMAN EMPEROR (1503–1564)",GBP,"20,000","30,000",22500
804,"School of Verona, 2nd Quarter of the 16th Century",PORTRAIT OF A BEARDED MAN,GBP,"20,000","30,000",116500
806,Circle of Sofonisba Anguissola,"PORTRAIT OF A BOY HOLDING A TENNIS RACKET AND BALL, WEARING A PINK SLASHED DOUBLET AND HOSE",GBP,"40,000","60,000",0
808,"Flemish School, 17th Century","PORTRAIT OF A BOY, HEAD AND SHOULDERS",GBP,"4,000","6,000",5625
810,"Frisian School, 17th Century","PORTRAIT OF A GIRL, HEAD AND SHOULDERS, IN A LACE CAP",GBP,"4,000","6,000",15000
812,After Sir Anthony van Dyck,"PORTRAIT OF FRANCES CRANFIELD, LADY BUCKHURST (1622–1687), LATER COUNTESS OF DORSET",GBP,"2,000","3,000",6250
814,Follower of Bartolomé Esteban Murillo,A YOUNG BOY IN A BUFF DOUBLET WITH WHITE CRAVAT,GBP,"4,000","6,000",0
816,Circle of Gerrit Dou,AN OLD WOMAN EATING PORRIDGE BY CANDLELIGHT,GBP,"8,000","12,000",13750
818,Studio of Sir Anthony van Dyck,MARTYRDOM OF SAINT SEBASTIAN,GBP,"12,000","18,000",86500
820,Attributed to Sir Anthony van Dyck,"PORTRAIT OF FERDINAND DE BOISCHOTT (1571-1649), BARON ZAVENTEM",GBP,"50,000","70,000",722500
822,Studio of Sir Anthony van Dyck,PORTRAIT OF A MAN WITH A GLOVED HAND,GBP,"40,000","60,000",410500
824,Attributed to David Teniers the Younger,PEASANTS PLAYING CARDS OUTSIDE AN INN,GBP,"15,000","20,000",21250
826,Attributed to Frederik de Moucheron,"TWO FIGURES BESIDE A RIVER, A BRIDGE BEYOND",GBP,"3,000","5,000",0
828,Jan Baptist Tijssens,GUARDROOM INTERIOR WITH ARMOUR AND A STANDARD BEHIND,GBP,"5,000","7,000",8125
830,Willem Claesz. Heda,"STILL LIFE OF OYSTERS, A NAUTILUS CUP, A ROEMER, LEMON AND OTHER OBJECTS",GBP,"30,000","40,000",98500
832,Ludolf Backhuysen,"A TWO-DECKER, A FLUYT, A KAAG AND A WEYSCHUIT IN A STIFF BREEZE",GBP,"40,000","60,000",92500
834,Willem van de Velde the Younger and Studio,"LORD ARCHIBALD HAMILTON IN THE LICHFIELD ENGAGING THE ST. MALO PRIVATEER TYGER, 11TH DECEMBER 1695",GBP,"20,000","30,000",35000
836,Charles Brooking,"DUTCH FISHING KAAGS BY A SHORE, WITH A MAN OF WAR SALUTING",GBP,"8,000","12,000",22500
838,William Anderson,SHIPPING IN A CALM SEA OFF THE COAST,GBP,"4,000","6,000",6250
840,Pieter Neefs the Younger,INTERIOR OF ANTWERP CATHEDRAL,GBP,"10,000","15,000",22500
842,Studio of Adam Frans van der Meulen,PORTRAIT OF KING LOUIS XIV MOUNTED ON A CHARGER BEFORE THE TOWN OF CHARLEROI,GBP,"8,000","12,000",0
844,Jan van Huchtenburg,"LANDSCAPE WITH TWO HORSEMEN DUELLING, FIGURES AND A TOWN BEYOND",GBP,"6,000","8,000",0
846,Pieter Neefs the Younger,"INTERIOR OF A PRISON WITH SLEEPING GUARDS, ST. PETER BEYOND; INTERIOR OF A PRISON WITH SAINT PETER FLEEING WITH THE ANGEL",GBP,"30,000","50,000",51250
848,"Follower of Giovanni Antonio Canal, called Canaletto","THE SCALA DEI GIGANTI AT THE DOGE'S PALACE, VENICE",GBP,"15,000","20,000",116500
850,"William Hoare of Bath, R.A.","PORTRAIT OF ELIZABETH HAMILTON, LATER COUNTESS OF WARWICK (1720–1800), AND HER BROTHER WILLIAM HAMILTON (1730–1803), THE ELDEST DAUGHTER AND YOUNGEST SON OF LORD ARCHIBALD HAMILTON",GBP,"20,000","30,000",22500
852,"John Singer Sargent, R.A.","PORTRAIT OF MARJORIE EDEN, LADY BROOKE, LATER COUNTESS OF WARWICK (1887–1943)",GBP,"60,000","80,000",122500
854,Attributed to Jacopo Bellini,SAINT JEROME IN THE WILDERNESS,GBP,"40,000","60,000",0
856,The 'Maestro del Cristo Docente' otherwise known as 'Maestro Francesco' or 'Francesco Fiorentino',"THE MADONNA AND CHILD ACCOMPANIED BY A BISHOP SAINT, SAINTS JULIAN THE HOSPITALER, JAMES THE GREATER(?), JOHN THE BAPTIST, ANTHONY ABBOT AND NICHOLAS OF BARI",GBP,"30,000","40,000",52500
858,Alejo Fernández and workshop,THE NATIVITY,GBP,"25,000","35,000",31250
860,Workshop of Alejo Fernández,THE ANNUNCIATION,GBP,"10,000","15,000",21250
862,Nicolás Falcó,THE MADONNA ANNUNCIATE; THE ANGEL GABRIEL,GBP,"6,000","8,000",10000
864,The Master of the Arma Christi of San Lorenzo,"HORATIUS COCLES DEFENDING THE BRIDGE TO ROME FROM THE ETRUSCANS (LIVY: 2-10; PLUTARCH 6:16); GAIUS MUCIUS SCAEVOLA IN THE ETRUSCAN CAMP, THRUSTING HIS HAND INTO A FIRE (LIVY 2:12)",GBP,"30,000","40,000",50000
866,The Master of San Miniato,THE MADONNA AND CHILD,GBP,"50,000","70,000",80500
868,"Agnolo di Domenico di Donnino, formerly known as the Master of Santo Spirito",MADONNA AND CHILD,GBP,"40,000","60,000",206500
870,"Tommaso di Credi, called Tommaso",MADONNA AND CHILD WITH THE INFANT SAINT JOHN THE BAPTIST,GBP,"100,000","150,000",0
872,Benvenuto Tisi called Garofalo,THE CIRCUMCISION,GBP,"60,000","80,000",0
874,Lambert Sustris,JUDITH WITH THE HEAD OF HOLOFERNES,GBP,"40,000","60,000",0
876,"Bolognese School, circa 1580",THE MYSTIC MARRIAGE OF SAINT CATHERINE,GBP,"8,000","12,000",10000
878,"Circle of Jacopo Chimenti, called Jacopo da Empoli",SAINT JOHN THE BAPTIST,GBP,"10,000","15,000",12500
880,Benvenuto Tisi called Garofalo,ADORATION OF THE MAGI,GBP,"60,000","80,000",0
882,"Venetian School, circa 1600","PORTRAIT OF A GENTLEMAN, FULL LENGTH, STANDING IN AN INTERIOR, A VIEW OF VENICE BEYOND",GBP,"20,000","30,000",0
884,Studio of Guido Reni,THE MADONNA AND CHILD WITH THE INFANT SAINT JOHN THE BAPTIST,GBP,"20,000","30,000",60000
886,"Roman School, circa 1610","HEAD OF A YOUNG MAN, PROBABLY A SELF-PORTRAIT",GBP,"25,000","35,000",182500
888,"Roman School, early 17th Century",CHRIST AT THE COLUMN,GBP,"25,000","35,000",0
890,Attributed to Giovanni Andrea Sirani,LUCRETIA,GBP,"10,000","15,000",16250
892,"Neapolitan School, 18th Century",THE MADONNA,GBP,"8,000","12,000",13750
894,"Luca Giordano, called Fa Presto",A PHILOSOPHER,GBP,"10,000","15,000",21250
896,"Studio of Jusepe de Ribera, called Lo Spagnoletto",THE PENITENT SAINT JEROME,GBP,"15,000","20,000",55000
898,Bernardo Polo,"STILL LIFE OF A SUNFLOWER AND OTHER BLOOMS IN A GILT MOUNTED BLUESTONE VASE, TOGETHER WITH MELONS, APRICOTS, GRAPES AND PLUMS IN A PEWTER DISH ALONGSIDE A PLANTER WITH GRAPES ON A VINE BRANCH, ALL ON A CARVED MARBLE LEDGE",GBP,"50,000","70,000",0
900,"Spanish School, First Half of the 17th Century",STILL LIFE WITH QUINCES AND PEARS ARRANGED ON A STONE TABLE TOP,GBP,"60,000","80,000",108100
902,"Italo-Flemish School, 17th Century","A KITCHEN INTERIOR WITH A CHEF AND HIS ASSISTANT SURROUNDED BY MEATS AND COOKING INSTRUMENTS, A FIREPLACE TO THE RIGHT",GBP,"25,000","35,000",0
904,"Roman School, 18th Century","STILL LIFE WITH FRUIT AND A PEACOCK, WITH TWO PUTTI PLAYING WITH A DOG",GBP,"15,000","20,000",0
906,Attributed to Heinrich Lihl,TWO WHITE ROE DEER IN A FOREST,GBP,"10,000","15,000",13750
908,"Pietro Paolo Bonzi, called Gobbo dei Frutti or Gobbo dei Carracci",LANDSCAPE WITH A HUNT,GBP,"15,000","20,000",18750
910,"Roman School, 17th Century",AN ARCADIAN RIVER LANDSCAPE WITH FIGURES WALKING ALONG A PATH AND A FISHERMAN,GBP,"10,000","15,000",0
912,"Jan Frans van Bloemen, called l'Orizzonte",CLASSICAL LANDSCAPE WITH A DISTANT VIEW OF A TOWN AND A WATERFALL WITH THREE FIGURES CONVERSING ON A PATH,GBP,"15,000","20,000",0
914,Carlo Ceresa,"THE VISION OF SAINT EUSTACE, WITH A PORTRAIT OF THE DONOR BESIDE HIS HORSE",GBP,"60,000","80,000",0
916,The Master of San Sebastiano Monti,THE CROWNING WITH THORNS,GBP,"80,000","120,000",0
918,Corrado Giaquinto,THE VIRGIN PRESENTING SAINT NICHOLAS TO THE HOLY TRINITY,GBP,"40,000","60,000",0
920,"Neapolitan School, 17th Century",ABRAHAM AND THE THREE ANGELS,GBP,"12,000","18,000",25000
922,Francesco Monti called Il Brescianino,BATTLE SCENE,GBP,"12,000","18,000",12500
924,"Simone Cantarini, called il Pesarese",THE PENITENT SAINT JEROME,GBP,"40,000","60,000",50000
926,"Giovanni Battista Salvi, called Sassoferrato",MADONNA AND CHILD,GBP,"50,000","70,000",80500
928,"Vittore Ghislandi, called Fra Galgario","PORTRAIT OF A YOUTH, BUST-LENGTH, WEARING A RED HAT AND SASH",GBP,"70,000","100,000",0
930,"French School, 18th Century","PORTRAIT OF A MAN, BUST-LENGTH, PROBABLY A SELF-PORTRAIT",GBP,"8,000","12,000",0
932,Attributed to Louis-Roland Trinquesse,PORTRAIT OF A GIRL OFFERING A BISCUIT TO HER SPANIEL,GBP,"8,000","12,000",0
934,Anton Raphael Mengs,SAINT JOHN THE BAPTIST,GBP,"60,000","80,000",134500
936,Johann Friedrich August Tischbein,PORTRAIT OF THE ARTIST AND HIS FAMILY,GBP,"50,000","70,000",116500
938,"Johann Zoffany, R.A.",PORTRAIT OF WILLIAM STACKHOUSE (1720–1771),GBP,"40,000","60,000",0
940,"Sir Thomas Lawrence, P.R.A.",PORTRAIT OF PRINCE HOARE (1755–1834),GBP,"30,000","50,000",0
942,Jacobus Buys,AN INTERIOR SCENE WITH A LADY AND TWO SUITORS,GBP,"15,000","20,000",0
944,"Sir William Beechey, R.A.","PORTRAIT OF A BOY, SAID TO BE MASTER BARKER",GBP,"10,000","15,000",15000
946,Marco Ricci,A CAPRICCIO LANDSCAPE WITH A DOMED CHURCH,GBP,"30,000","40,000",37500
948,John Wootton,"A RACE MEETING ON THE ROUND COURSE, NEWMARKET, WATCHED BY THE DUKE OF WHARTON, TREGONWELL FRAMPTON AND OTHER SPECTATORS",GBP,"60,000","80,000",74500
950,"Francis Cotes, R.A.",PORTRAIT OF A LADY AND HER CHILD,GBP,"10,000","15,000",22500
952,"David Roberts, R.A.",PART OF THE SOUTH FRONT OF THE COURTYARD OF FALKLAND PALACE,GBP,"6,000","8,000",13750
954,Peter Tillemans,VIEW OF WINDSOR CASTLE,GBP,"6,000","8,000",17500
956,Attributed to Francesco Fidanza,"VIEW OF A TRAVELLER AND A FISHERMAN BY THE TERNI WATERFALL; VIEW OF A TRAVELLER AND WASHERWOMAN BY A WATERFALL, A MONASTERY IN THE DISTANCE",GBP,"8,000","12,000",10625
958,Alexander Nasmyth,"VIEW OF CROSBIE CASTLE IN AYRSHIRE, WITH THE ISLE OF ARRAN BEYOND",GBP,"20,000","30,000",60000
960,"Roman School, 18th Century","ROME, A VIEW OF PIAZZA NAVONA FROM THE SOUTH",GBP,"6,000","8,000",10625
962,"Circle of Richard Wilson, R.A.",A COASTAL LANDSCAPE WITH PEASANTS DANCING IN THE FOREGROUND,GBP,"6,000","8,000",7500
964,"Venetian School, 18th Century","VENICE, A VIEW OF SAINT MARK'S SQUARE",GBP,"10,000","15,000",13750
966,"Venetian School, 18th Century","VENICE, A VIEW OF THE GRAND CANAL WITH THE CHURCH OF SAN SIMEONE PICCOLO",GBP,"18,000","25,000",22500
968,"North German School, Circa 1480-1500",THE MARRIAGE OF THE VIRGIN,USD,"20,000","30,000",131000
970,"Pieter de Witte, called Candid",THE VIRGIN AND CHILD,USD,"15,000","20,000",15000
972,Lubin Baugin,MADONNA AND CHILD,USD,"25,000","35,000",0
974,Frans Floris the Elder,PROFILE PORTRAIT OF A WOMAN,USD,"30,000","50,000",68750
976,Jacques Stella,JUDITH WITH THE HEAD OF HOLOFERNES,USD,"30,000","40,000",0
978,"Ippolito Scarsella, called Scarsellino",THE NATIVITY,USD,"10,000","15,000",50000
980,Attributed to David Vinckboons,A WOODED RIVER LANDSCAPE WITH A STAG HUNT,USD,"30,000","50,000",37500
982,Attributed to Andrea Solario,MATER DOLOROSA,USD,"30,000","50,000",43750
984,Follower of Jan Mandyn,THE HARROWING OF HELL,USD,"25,000","35,000",62500
986,"Venetian School, 16th Century",SALVATOR MUNDI,USD,"20,000","30,000",0
988,"The Pseudo-Granacci, possibly identifiable as Poggio Poggini",THE HOLY FAMILY,USD,"40,000","60,000",43750
990,Circle of Jan Davidsz. de Heem,"A GLASS VASE OF FLOWERS INCLUDING ROSES, A TULIP, AND THISTLES WITH SNAILS, A BUTTERFLY, AND A CATERPILLAR",USD,"40,000","60,000",75000
992,Circle of Karl Wilhelm de Hamilton,"FOREST FLOOR STILL LIFE WITH LIZARDS, BUTTERFLIES, A TOAD, A SNAIL, A SNAKE, A DRAGONFLY, A BEETLE, AN ANT, A WORM AND A LADYBUG",USD,"8,000","12,000",8750
994,"Flemish Artist Active in Italy, 17th Century",THE FLIGHT INTO EGYPT,USD,"8,000","12,000",22500
996,Circle of Jan Brueghel the Younger and Hendrick van Balen,THE FINDING OF MOSES,USD,"5,000","7,000",5000
998,Circle of Jacob de Backer,LOT AND HIS DAUGHTERS,USD,"8,000","12,000",16250
1000,"Attributed to Adriaen Hanneman, Gaspar Peeter Verbruggen the Younger",MARGARET LEMON AS ERMINIA,USD,"60,000","80,000",62500
1002,Pieter de Bloot,"PEASANTS STANDING AT THE ENTRANCE TO AN INN, LISTENING TO A MAN PLAYING THE HURDY-GURDY",USD,"8,000","12,000",17500
1004,Attributed to Jan Jacobsz. van der Stoffe,A CAVALRY SKIRMISH,USD,"7,000","9,000",0
1006,Attributed to Adriaen Hanneman,PORTRAIT OF A WOMAN,USD,"5,000","7,000",13750
1008,Circle of François Clouet,"PORTRAIT OF A WOMAN, SAID TO BE MADELEINE DE L'AUBESPINE, DAME DE VILLEROY",USD,"10,000","15,000",10000
1010,Reynier de la Haye,PORTRAIT OF A YOUNG WOMAN PLAYING THE LUTE,USD,"8,000","12,000",10625
1012,Pieter van der Werff,DAPHNIS AND CHLOE IN A WOODED LANDSCAPE,USD,"8,000","12,000",11250
1014,"Bolognese School, second half of the 16th Century",HALF-LENGTH PORTRAIT OF A WOMAN,USD,"6,000","8,000",6250
1016,Maître des Cortèges,ANNUNCIATION TO THE SHEPHERDS,USD,"60,000","80,000",0
1018,"Lodovico Cardi, called Cigoli",VENUS AND ADONIS,USD,"80,000","120,000",0
1020,"Alessandro Turchi, called Orbetto",MADONNA AND CHILD WITH THE INFANT ST. JOHN THE BAPTIST,USD,"50,000","70,000",0
1022,Alessandro Allori,"PORTRAIT OF FRANCESCO I DE' MEDICI (1541-1587), BUST LENGTH",USD,"20,000","30,000",18750
1024,Follower of The Master of the Lute Player,A YOUNG MAN PLAYING A LUTE,USD,"15,000","20,000",10000
1026,"Jusepe de Ribera, called Spagnoletto",THE PENITENT SAINT PETER,USD,"60,000","80,000",149000
1028,"Giuseppe Cesari, called Cavaliere d'Arpino","MADONNA AND CHILD WITH SAINT JOHN THE BAPTIST, MARY MAGDALEN AND SAINT ANNE",USD,"20,000","30,000",21250
